id,title,publishedAt,duration,definition,caption,licensedContent,viewCount,likeCount,commentCount,description,embeddable,player
BvisneA-AXM,Celebrate Chinese Valentine’s Day with “Qiaosu”原来这才是七夕节的正确打开方式：入口即化的“巧酥”,2017-08-28T02:59:33Z,PT5M40S,hd,false,True,7403282,123498,3119,"Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx 
#李子柒#Liziqi#lýtửthất#ChineseCuisine #ChineseFood

七夕节又称“乞巧节”，古人通常在这一天里吃巧果，偷听牛郎织女天河夜话。姑娘们则会在夜里向织女许愿乞求心灵手巧，故称“乞巧”。去年做了巧食，今年就教大家做同样是七夕传统美食的《巧酥》。外皮酥层入口即化，紫薯内馅香甜有嚼劲，不止是好看那么简单
Chinese Valentine’s day is also called “Qiqiao Festival”.
Ancient people would eat fried pastries called “Qiaoguo”,
While eavesdropping on the sweet nothings
between the Cowherd and the Weaver Girl in the fairy tale.
At night, girls would pray to the Weaver Girl for dexterity in needlework, 
which is called “Qiqiao” (beseeching dexterity).
Last year I made some “Qiaoguo”, and this year let me teach you guys how to make “Qiaosu”, also a traditional dessert for the day.
The crispy and flaky outside melts in your mouth,
While the purple sweet potato paste inside stays chewy and sugary.
It gives more than a pleasing aesthetic.

【李子柒 Liziqi 】 https://goo.gl/nkjpSx
--------------------------------------------------------------------
liziqi李子柒更多精彩视频推荐/More wonderful video recommendations：
liziqi李子柒精选视频/decent video selection：https://is.gd/qe9xuc
李子柒●花开有声 | Soud of blooming flowers： https://is.gd/tyr1ja
李子柒 ●饮食以节 | Chinese festival food： https://is.gd/3LsFnu
李子柒 ●适时而食 | Seasonal diet： https://is.gd/JmLJH3
东方非遗传承 | Oriental intangible cultural heritage ： https://is.gd/atatyo
传统工艺 | Traditional handicraft： https://is.gd/FPl4df
Spring 春之卷：https://is.gd/EBwo2n
Summer 夏之卷：https://is.gd/i1jJ46
Autumn 秋之卷：https://is.gd/YBVeL2
Winter 冬之卷：https://is.gd/3JqW8D

#李子柒 #liziqi",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/BvisneA-AXM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
5-zf4tlblTc,"Slow-Boiled Autumn Pear Paste, Tasty, Cough Relief & Good for Lung炉火慢慢熬炼出的秋梨膏，止咳润肺滋味好|Liziqi channel",2018-09-10T03:24:04Z,PT5M59S,hd,true,True,15094780,205135,7319,"Liziqi channel——秋梨膏

秋风起，秋梨黄！
摘一篮果实，
熬一方膏！
Autumn wind rises, and autumn pears turn yellow.
Pluck a basketful of ripe ones
And slow-boil a jar of medicinal paste!

Subscribe to Liziqi Channel on YouTube: https://goo.gl/nkjpSx

more videos of my channel：
Autumn 秋之卷（playlist）：https://www.youtube.com/playlist?list=PLF-q-IGQQb1sx_eULP-Dqs10OUlRHJeyH

Click the link to translate: https://is.gd/IUWn1A

#LiziqiChannel # LýTửThất   #李子柒 #Chinesefood #리즈치",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5-zf4tlblTc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
1qdCgufSKs4,Winter cuisine with great meaning—flower shaped shrimp寓意吉祥的寒冬美味——花开富贵虾Liziqi channel,2017-12-29T06:02:37Z,PT3M59S,hd,false,True,4633040,81285,1555,"Liziqi channel
The must have cuisine for NYE dinner—flower shaped shrimp. The outside part of this cuisine looks like a blooming flower, which is beautiful and joyful. Other than that, shrimp is nutritious for everybody and has a Chinese meaning implying wealth and luck. Let this “wealthy flower” open on your NYE dinner table.
年夜饭必杀----花开富贵虾 外形像盛开的花朵喜庆漂亮、虾肉营养老少皆宜、名字寓意富贵吉祥。让这朵富贵花盛开在您家年夜饭餐桌上吧！

Subscribe to Liziqi Channel on YouTube: https://goo.gl/nkjpSx

more videos of my channel：
Winter 冬之卷（playlist）：https://www.youtube.com/playlist?list=PLF-q-IGQQb1srtq78-PURBflRciBrf75x

Click the link to translate: https://is.gd/IUWn1A

#LiziqiChannel # LýTửThất   #李子柒 #Chinesefood #리즈치",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/1qdCgufSKs4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
Ccy5luBmnSY,"A multi layer sole shoes for my grandma, in memory of good old days给奶奶做了双千层底，重温儿时一针一线的旧时光|Liziqi",2017-12-18T02:23:48Z,PT5M,hd,false,True,7440768,171819,5341,"Liziqi channel

A multi layer sole shoes for my grandma, in memory of good old days.Probably everybody has some multi layer sole shoes with warm memories in their lives. When I was younger, I have been wearing the multi layer sole shoes all the time, which was made by grandma with old clothes.People nowadays have different kinds of beautiful shoes and.Such an out of style shoe made tedious work just appear in memories today……

给奶奶做了双千层底，重温儿时一针一线的旧时光。或许每个人的记忆里都有一双带着温暖的千层底儿。儿时，我也一直穿着奶奶用旧衣服做的千层底布鞋长大…如今的我们，已经有了各式各样的漂亮鞋子。这双做工繁琐、样子又老旧的粗布鞋也渐渐被藏进了回忆里………

Subscribe to Liziqi Channel on YouTube: https://goo.gl/nkjpSx

More videos of my channel：
 Cloack with Fluffy and Soft Lambswool：https://youtu.be/UvmC-leoj9U
Silk quilt：https://youtu.be/OrXiXDUQia8
Woodblock printing: https://youtu.be/SG0MdDS2WI0

Click the link to translate: https://is.gd/IUWn1A

#LiziqiChannel #Liziqicooking # LýTửThất #scholarsfourtreasures #李子柒 #Chinesefood #리즈치",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ccy5luBmnSY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
z_nDDebiefE,"As a kid, I used to eat zongzi wrapped in shells of bamboo shoots.我小时候吃过的传统笋壳粽子，你那有吗？丨Liziqi Channel",2020-06-25T14:03:38Z,PT7M3S,hd,true,True,14531420,321525,14997,"Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx 

Do you have that sort of zongzi in your hometown?
At that time, before Dragon Boat Festival, 
Villagers would go to the mottled bamboo forest to pick up the shells to make zongzi.
The fragrance of bamboo shoots and sweetness of glutinous rice are wrapped together,
with a touch of alkali flavor.
Dip it in sugar,
Or drizzle with hot brown sugar syrup…
I still haven’t outgrown that festive taste.
小时候每到端午，
村里的大人就忙着去斑竹林捡笋壳回来包粽子
笋壳的清甜混合糯米的香软，还有淡淡面碱香
吃的时候蘸一蘸白糖
或淋一勺热热的红糖汁
大概这就是我关于端午最深刻的味蕾回忆吧！
#李子柒#李子柒Liziqi

 【李子柒 Liziqi 】 https://goo.gl/nkjpSx
--------------------------------------------------------------------
liziqi李子柒更多精彩视频推荐/More wonderful video recommendations：
liziqi李子柒精选视频/decent video selection：https://is.gd/qe9xuc
李子柒●花开有声 | Soud of blooming flowers： https://is.gd/tyr1ja
李子柒 ●饮食以节 | Chinese festival food： https://is.gd/3LsFnu
李子柒 ●适时而食 | Seasonal diet： https://is.gd/JmLJH3
东方非遗传承 | Oriental intangible cultural heritage ： https://is.gd/atatyo
传统工艺 | Traditional handicraft： https://is.gd/FPl4df
Spring 春之卷：https://is.gd/EBwo2n
Summer 夏之卷：https://is.gd/i1jJ46
Autumn 秋之卷：https://is.gd/YBVeL2
Winter 冬之卷：https://is.gd/3JqW8D

#LýTửThất #李子柒 #liziqi",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/z_nDDebiefE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
U0ljV_Tfky0,spicy beef jerky 麻辣手撕牛肉干| 看书追剧必备小零食 Here’s the super pal for reading and watching TV |Liziqi channel,2017-09-25T02:46:41Z,PT5M,hd,true,False,11185921,147692,3860,"Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx 
#李子柒#lýtửthấ#Liziqi#ChineseCuisine #ChineseFood

Here’s the super pal for reading and watching TV: spicy beef jerky.
Stew the beef in secret sauce over slow fire, and simmer the spice oil till fragrant.
Chew the hand-ripped beef, and indulge in its lingering flavor.
Bite by bite, you simply can’t stop…
Homemade snack with no preservatives or coloring, 
Safe for children and everyone!

看书追剧必备小零食－－《麻辣手撕牛肉干》。
小火秘卤，熬好的香料油慢火煸香
一根根撕开的牛肉慢慢咬，口齿留香！
完全停不下来……
自己做安全无添加，给孩子吃也完全放心！

李子柒 Liziqi 】 https://goo.gl/nkjpSx
--------------------------------------------------------------------
liziqi李子柒更多精彩视频推荐/More wonderful video recommendations：
liziqi李子柒精选视频/decent video selection：https://is.gd/qe9xuc
李子柒●花开有声 | Soud of blooming flowers： https://is.gd/tyr1ja
李子柒 ●饮食以节 | Chinese festival food： https://is.gd/3LsFnu
李子柒 ●适时而食 | Seasonal diet： https://is.gd/JmLJH3
东方非遗传承 | Oriental intangible cultural heritage ： https://is.gd/atatyo
传统工艺 | Traditional handicraft： https://is.gd/FPl4df
Spring 春之卷：https://is.gd/EBwo2n
Summer 夏之卷：https://is.gd/i1jJ46
Autumn 秋之卷：https://is.gd/YBVeL2
Winter 冬之卷：https://is.gd/3JqW8D

#李子柒#liziqi",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/U0ljV_Tfky0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
mmdSNDK7Ovk,How to make a Chinese herbal tea? 逍遥草本茶，泡一杯自在逍遥！|Liziqi channel,2018-08-16T03:36:16Z,PT4M7S,hd,true,True,13367749,171362,4424,"Liziqi channel
夏日贪凉，难免多了“湿气”。
三伏天里饮伏茶又是民间习俗
逍遥草本茶源自《清宫医案》
取九味草本，依古法制作
乏时喝上一杯，整个人都通透了！
Too many icy drinks in the dog days accumulates “dampness” in your body.
And it’s a tradition to have hot herb tea to dispel such pernicious influence.
The prescription comes from Medical Records of the Qing Court.
Prepare the 9 herbs and brew your home remedy in the old way.
Have a drink and get refreshed all over.

Subscribe to Liziqi Channel on YouTube: https://goo.gl/nkjpSx

more videos of my channel：
Summer 夏之卷（playlist）：https://www.youtube.com/playlist?list=PLF-q-IGQQb1vS3FWBmiGeWa673kqBy33M

Click the link to translate: https://is.gd/IUWn1A

#LiziqiChannel # LýTửThất   #李子柒 #Chinesefood #리즈치",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/mmdSNDK7Ovk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
TJdSECC4OGM,"The wild jujube is ripe, it’s time to make some wild jujube cake老屋后的枣子熟了，正好做笼酸枣糕解解馋|Liziqi channel",2017-12-24T08:24:25Z,PT4M54S,hd,false,True,9254025,109255,2171,"Liziqi channel
小时候我们管这玩意儿叫“鼻涕果”。
那会儿吧，一到果子落地的时节，
起床裤子一提的头件事儿就是奔老屋后捡酸枣吃。
估计是那时没什么零食，就觉得这果儿酸酸甜甜的不能再好吃了！
现在？呵条件越好越矫情，觉得酸了，只得加些冰糖粉做成酸枣糕喽～
When we were little, we called them “snot fruit”. 
When they ripened, our first thing in the morning was
To rush to the backyard and pick up the fallen ones.
With few snacks then, we thought these were God’s treat.
Now, life is much better, and we’ve become particular about food.
Who cares for such sour fruits? Alright, let’s cook them with crystal sugar powder.
And bang! Here is sour jujube cake.

Subscribe to Liziqi Channel on YouTube: https://goo.gl/nkjpSx

more videos of my channel：
Autumn 秋之卷（playlist）：https://www.youtube.com/playlist?list=PLF-q-IGQQb1sx_eULP-Dqs10OUlRHJeyH

Click the link to translate: https://is.gd/IUWn1A

#LiziqiChannel # LýTửThất   #李子柒 #Chinesefood #리즈치",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TJdSECC4OGM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
V92iiDNdhjI,Ribs and Glutinous Rice with Lotus Leaf 教你们一个手残星人也毫无压力的硬菜：荷叶糯米排骨 丨Liziqi Channel,2017-09-02T04:33:35Z,PT4M48S,hd,false,True,7854488,103318,2656,"Please  subscribe to 【李子柒 Liziqi 】Liziqi Channel on YouTube if you like my videos: https://goo.gl/nkjpSx 
#李子柒#lýtửthấ#Liziqi#ChineseCuisine #ChineseFood

教你们一个手残星人也毫无压力的硬菜：荷叶糯米排骨
荷叶糯米排骨------上个视频很多小懒鬼抱怨太难了！这次就教你们一个手残星人也毫无压力的硬菜。泡一泡、拌一拌、蒸一蒸，齐活！我能又当菜又当饭的干掉一蒸笼
A newbie-friendly main course: steamed pork ribs and glutinous rice in lotus leaves.
Steamed pork ribs and glutinous rice in lotus leaves--
Some lazy sweeties complained the recipe in the last video was too difficult.
This time let me teach you a newbie-friendly main course.
Soak, mix, steam and done! 
A super full meal in just one dish and I can have a steamer of it.


【李子柒 Liziqi 】 https://goo.gl/nkjpSx
--------------------------------------------------------------------
liziqi李子柒更多精彩视频推荐/More wonderful video recommendations：
liziqi李子柒精选视频/decent video selection：https://is.gd/qe9xuc
李子柒●花开有声 | Soud of blooming flowers： https://is.gd/tyr1ja
李子柒 ●饮食以节 | Chinese festival food： https://is.gd/3LsFnu
李子柒 ●适时而食 | Seasonal diet： https://is.gd/JmLJH3
东方非遗传承 | Oriental intangible cultural heritage ： https://is.gd/atatyo
传统工艺 | Traditional handicraft： https://is.gd/FPl4df
Spring 春之卷：https://is.gd/EBwo2n
Summer 夏之卷：https://is.gd/i1jJ46
Autumn 秋之卷：https://is.gd/YBVeL2
Winter 冬之卷：https://is.gd/3JqW8D

#李子柒#liziqi",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/V92iiDNdhjI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
x4BuEQ1CUks,steaming pot of braised lamb in Jiangnan style 红烧湖羊肉，小鲜肉老味道|Liziqi channel,2018-08-16T09:02:21Z,PT5M23S,hd,true,True,18212948,204942,9319,"Liziqi channel——红烧湖羊肉


忘不了的心头爱
是一锅热气腾腾的江南红烧湖羊肉
羊肉酥烂、汤汁浓郁、鲜香四溢
一块湖羊肉下肚，暖暖的身心都慰藉了
馋嘴时，就爱上手做上一大锅子
What I can never forget
Is that steaming pot of braised lamb in Jiangnan style.
Tenderness with a rich gravy and meaty flavour.
Take a tasty morsel to sooth your stomach and mind.
Every time I crave it, I’ll make a big pot.


Subscribe to Liziqi Channel on YouTube: https://goo.gl/nkjpSx

more videos of my channel：
Autumn 秋之卷（playlist）：https://www.youtube.com/playlist?list=PLF-q-IGQQb1sx_eULP-Dqs10OUlRHJeyH

Click the link to translate: https://is.gd/IUWn1A

#LiziqiChannel # LýTửThất   #李子柒 #Chinesefood #리즈치",True,"{'embedHtml': '<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/x4BuEQ1CUks"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>'}"
